experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,291.548,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,254.951,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,506.952,0
Senior,Full-time,US,On-Site,US,MEDIUM,Machine Learning,383.406,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,471.169,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,418.33,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,450.555,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,364.966,0
Entry level,Full-time,US,On-Site,US,LARGE,Data Science,462.234,0
Entry level,Full-time,US,On-Site,US,LARGE,Data Science,361.608,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,470.106,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,383.406,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,316.228,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,282.843,0
